Good\0.bmp  1  0 0 211 87
Good\1.bmp  1  0 0 448 85
Good\10.bmp  1  0 0 344 167
Good\100.bmp  1  0 0 617 138
Good\101.bmp  1  0 0 296 65
Good\102.bmp  1  0 0 541 98
Good\103.bmp  1  0 0 493 138
Good\104.bmp  1  0 0 569 82
Good\105.bmp  1  0 0 364 94
Good\106.bmp  1  0 0 398 98
Good\107.bmp  1  0 0 170 43
Good\108.bmp  1  0 0 208 48
Good\109.bmp  1  0 0 272 56
Good\11.bmp  1  0 0 1292 342
Good\110.bmp  1  0 0 211 76
Good\111.bmp  1  0 0 508 120
Good\112.bmp  1  0 0 334 88
Good\113.bmp  1  0 0 456 64
Good\114.bmp  1  0 0 396 100
Good\115.bmp  1  0 0 1390 349
Good\116.bmp  1  0 0 788 181
Good\117.bmp  1  0 0 766 202
Good\118.bmp  1  0 0 362 89
Good\119.bmp  1  0 0 245 56
Good\12.bmp  1  0 0 310 67
Good\120.bmp  1  0 0 362 95
Good\121.bmp  1  0 0 290 68
Good\122.bmp  1  0 0 215 58
Good\123.bmp  1  0 0 379 103
Good\124.bmp  1  0 0 291 74
Good\125.bmp  1  0 0 373 100
Good\126.bmp  1  0 0 368 79
Good\127.bmp  1  0 0 417 120
Good\128.bmp  1  0 0 325 80
Good\129.bmp  1  0 0 245 85
Good\13.bmp  1  0 0 497 96
Good\130.bmp  1  0 0 392 141
Good\131.bmp  1  0 0 324 112
Good\132.bmp  1  0 0 482 133
Good\133.bmp  1  0 0 194 36
Good\134.bmp  1  0 0 389 106
Good\135.bmp  1  0 0 753 200
Good\136.bmp  1  0 0 314 69
Good\137.bmp  1  0 0 688 161
Good\138.bmp  1  0 0 900 204
Good\139.bmp  1  0 0 888 209
Good\14.bmp  1  0 0 563 195
Good\140.bmp  1  0 0 1051 267
Good\141.bmp  1  0 0 785 212
Good\142.bmp  1  0 0 1027 272
Good\143.bmp  1  0 0 310 111
Good\144.bmp  1  0 0 436 158
Good\145.bmp  1  0 0 577 155
Good\146.bmp  1  0 0 234 98
Good\147.bmp  1  0 0 448 142
Good\148.bmp  1  0 0 443 122
Good\149.bmp  1  0 0 427 122
Good\15.bmp  1  0 0 346 96
Good\150.bmp  1  0 0 320 128
Good\151.bmp  1  0 0 306 82
Good\152.bmp  1  0 0 299 98
Good\153.bmp  1  0 0 354 129
Good\154.bmp  1  0 0 578 129
Good\155.bmp  1  0 0 546 109
Good\156.bmp  1  0 0 206 105
Good\157.bmp  1  0 0 186 57
Good\158.bmp  1  0 0 240 68
Good\159.bmp  1  0 0 238 66
Good\16.bmp  1  0 0 304 70
Good\160.bmp  1  0 0 239 69
Good\161.bmp  1  0 0 428 89
Good\162.bmp  1  0 0 298 56
Good\163.bmp  1  0 0 277 100
Good\164.bmp  1  0 0 254 107
Good\165.bmp  1  0 0 396 98
Good\166.bmp  1  0 0 270 66
Good\167.bmp  1  0 0 386 102
Good\168.bmp  1  0 0 267 62
Good\169.bmp  1  0 0 389 117
Good\17.bmp  1  0 0 309 75
Good\170.bmp  1  0 0 348 93
Good\171.bmp  1  0 0 267 103
Good\172.bmp  1  0 0 258 112
Good\173.bmp  1  0 0 296 60
Good\174.bmp  1  0 0 347 75
Good\175.bmp  1  0 0 146 54
Good\176.bmp  1  0 0 496 79
Good\177.bmp  1  0 0 582 244
Good\178.bmp  1  0 0 867 195
